State,Percentage_pop_with_bachelors,Year,Av_temperature,Median_income,Elec_price,Key,perc_of_tot,Gdp_per_working_pop,Energy_per_working_pop,num_jobs_per_working_pop,charging_ports_per_w_pop,label
District of Columbia,52.5,2011,59.9,66702.0,37.53,District of Columbia2011,0.0,0.3212248243559719,0.5376317330210773,2.420260538641686,2.420260538641686,0
Florida,25.8,2011,69.4,54454.0,31.09,Florida2011,0.0,0.08647621228602508,0.47763325127383066,1.149210969256312,1.149210969256312,0
Georgia,27.6,2011,63.0,55501.0,28.17,Georgia2011,0.0,0.09042144622732415,0.6356916921530018,1.1155926096610667,1.1155926096610667,0
Hawaii,29.1,2011,76.9,71285.0,92.78,Hawaii2011,0.0,0.11140767618126107,0.48790517658442184,1.3465763586518305,1.3465763586518305,0
Idaho,25.2,2011,43.0,57295.0,18.87,Idaho2011,0.0,0.07869140409065782,0.7201575456053068,1.2141252072968491,1.2141252072968491,0
Illinois,31.0,2011,53.0,61132.0,26.38,Illinois2011,0.0,0.11109912452297727,0.6358203187634288,1.1827117339576052,1.1827117339576052,0
Indiana,23.0,2011,52.6,53657.0,23.55,Indiana2011,0.0,0.09575577611989351,0.9280550169257568,1.1799375554606106,1.1799375554606106,0
Iowa,25.8,2011,48.3,60627.0,22.16,Iowa2011,0.0,0.10627557082528094,1.0787724572328394,1.4143296829146088,1.4143296829146088,0
Kansas,30.1,2011,55.3,55712.0,26.11,Kansas2011,0.0,0.1033726783412933,0.8316746266393753,1.3790038662724584,1.3790038662724584,0
Kentucky,21.1,2011,56.0,48117.0,21.1,Kentucky2011,0.0,0.08376630540909978,0.9442218316735013,1.1561228275727398,1.1561228275727398,0
Louisiana,21.1,2011,66.6,49085.0,22.76,Louisiana2011,0.0,0.10619544635847226,1.9109384380917194,1.1845674964208193,1.1845674964208193,0
Maine,28.4,2011,44.3,59992.0,36.86,Maine2011,0.0,0.08661532125205931,0.6887561779242175,1.3087133443163097,1.3087133443163097,0
Maryland,36.9,2011,55.6,83151.0,34.98,Maryland2011,0.0,0.11458514486391572,0.5033197541703248,1.192214574187884,1.192214574187884,0
Massachusetts,39.1,2011,50.1,76435.0,41.36,Massachusetts2011,0.0,0.13363576408517053,0.44265152942654357,1.3112590289554675,1.3112590289554675,0
Michigan,25.6,2011,46.7,59010.0,30.57,Michigan2011,0.0,0.08725056613539803,0.607876291327884,1.1140138460543059,1.1140138460543059,0
Minnesota,32.4,2011,42.5,69804.0,25.43,Minnesota2011,0.0,0.11174931869500895,0.7201358716810714,1.350619403566145,1.350619403566145,0
