State,Percentage_pop_with_bachelors,Year,Adults 19-25,Adults 26-34,Adults 35-54,EnergyC_addunit,num_jobs_tot,Av_temperature,Median_income,GDP,Elec_price,Tot_vehicle,Number of registrations,Label,Label_py,Label_R,Key
Oregon,28.1,2008,333100.0,460300.0,1057200.0,1047201.0,2288619.0,47.6,65252.0,164925.4,21.22,1463189.0,8.0,Low,0,1,Oregon2008
Pennsylvania,26.3,2008,1027600.0,1262900.0,3586200.0,3942348.0,7278608.0,49.3,64842.0,588024.6,27.44,6086264.0,0.0,Low,0,1,Pennsylvania2008
Rhode Island,30.0,2008,98500.0,108400.0,309400.0,194322.0,608905.0,50.2,67161.0,47277.5,47.0,490628.0,0.0,Low,0,1,Rhode Island2008
South Carolina,23.7,2008,385400.0,480700.0,1232800.0,1637705.0,2472423.0,63.9,53177.0,163886.2,23.02,1996617.0,0.0,Low,0,1,South Carolina2008
South Dakota,25.1,2008,65500.0,81600.0,217200.0,353531.0,561007.0,46.5,65091.0,36603.0,20.93,347408.0,0.0,Low,0,1,South Dakota2008
Tennessee,22.9,2008,518200.0,721300.0,1775000.0,2283922.0,3677072.0,59.6,50083.0,254242.0,24.03,2833546.0,0.0,Low,0,1,Tennessee2008
Texas,25.3,2008,2290300.0,3017100.0,6634500.0,11263781.0,14365941.0,65.1,58645.0,1244294.9,32.42,8830985.0,0.0,Low,0,1,Texas2008
Utah,29.1,2008,329200.0,378800.0,631800.0,768036.0,1688150.0,49.9,78888.0,117178.9,19.12,1192191.0,0.0,Low,0,1,Utah2008
Vermont,32.1,2008,50100.0,60900.0,191000.0,146384.0,424270.0,42.3,63964.0,25999.3,36.14,306690.0,0.0,Low,0,1,Vermont2008
Virginia,33.7,2008,658300.0,848000.0,2241100.0,2544221.0,4870415.0,56.5,78192.0,404634.9,23.5,3881087.0,0.0,Low,0,1,Virginia2008
Washington,30.7,2008,551100.0,782300.0,1896300.0,2041958.0,3954911.0,46.7,71438.0,354794.1,19.28,3299259.0,0.0,Low,0,1,Washington2008
West Virginia,17.1,2008,148600.0,196900.0,514100.0,776230.0,918366.0,52.9,47928.0,62694.8,16.52,700301.0,0.0,Low,0,1,West Virginia2008
Wisconsin,25.7,2008,501700.0,618700.0,1632800.0,1895118.0,3572922.0,44.3,64587.0,246814.5,26.47,2659162.0,0.0,Low,0,1,Wisconsin2008
Wyoming,23.6,2008,48500.0,59600.0,146700.0,538379.0,398969.0,43.3,67283.0,42819.3,16.73,261294.0,0.0,Low,0,1,Wyoming2008
Alabama,22.0,2009,422600.0,531900.0,1266900.0,1800096.0,2479507.0,63.1,50609.0,170930.9,26.23,2171584.0,0.0,Low,0,1,Alabama2009
Alaska,26.6,2009,68700.0,81300.0,194400.0,639557.0,442447.0,-0.2,77982.0,49957.8,44.29,236223.0,0.0,Low,0,1,Alaska2009
Arizona,25.6,2009,595200.0,831100.0,1696500.0,1380064.0,3228493.0,61.1,57899.0,246424.3,28.01,2228172.0,0.0,Low,0,1,Arizona2009
Arkansas,18.9,2009,251000.0,328600.0,759600.0,1041617.0,1542944.0,59.8,46252.0,97508.1,22.39,947406.0,0.0,Low,0,1,Arkansas2009
California,29.9,2009,3520400.0,4663300.0,10285600.0,7775285.0,19837628.0,59.4,71058.0,1890165.9,38.89,19972837.0,76.0,Low,0,1,California2009
Colorado,35.9,2009,460500.0,634800.0,1436300.0,1465495.0,3164426.0,45.6,70800.0,251227.7,24.44,640899.0,0.0,Low,0,1,Colorado2009
Connecticut,35.6,2009,286400.0,359300.0,1040900.0,766475.0,2196161.0,49.0,82092.0,233290.7,52.96,1983114.0,0.0,Low,0,1,Connecticut2009
Delaware,28.7,2009,72700.0,102400.0,242700.0,259461.0,525634.0,55.8,65969.0,57849.7,35.77,463779.0,0.0,Low,0,1,Delaware2009
District of Columbia,48.5,2009,60900.0,96300.0,160800.0,186486.0,795912.0,57.4,67269.0,100446.0,38.79,166519.0,0.0,Low,0,1,District of Columbia2009
Florida,25.3,2009,1590600.0,2005000.0,4988100.0,4115280.0,9841883.0,70.7,57763.0,735421.0,33.68,7597789.0,0.0,Low,0,1,Florida2009
Georgia,27.5,2009,874900.0,1169700.0,2764000.0,2913909.0,5247022.0,63.6,54862.0,409590.8,25.81,4134274.0,0.0,Low,0,1,Georgia2009
Hawaii,29.6,2009,104100.0,149400.0,338200.0,275928.0,829897.0,77.1,70444.0,64549.7,62.36,448535.0,0.0,Low,0,1,Hawaii2009
Idaho,23.9,2009,154200.0,174300.0,392500.0,502530.0,880480.0,43.0,59215.0,54064.1,19.07,563021.0,0.0,Low,0,1,Idaho2009
Illinois,30.6,2009,1177900.0,1569600.0,3607400.0,3859236.0,7304316.0,50.4,66926.0,649862.7,26.88,5824074.0,0.0,Low,0,1,Illinois2009
