State,Percentage_pop_with_bachelors,Year,Adults 19-25,Adults 26-34,Adults 35-54,EnergyC_addunit,num_jobs_tot,Av_temperature,Median_income,GDP,Elec_price,Tot_vehicle,Number of registrations,Label,Label_py,Label_R,Key,norm_Av_temperature,norm_Percentage_pop_with_bachelors,norm_Adults 19-25,norm_Adults 26-34,norm_Adults 35-54,norm_EnergyC_addunit,norm_num_jobs_tot,norm_Median_income,norm_GDP,norm_Elec_price,norm_Tot_vehicle
Minnesota,31.5,2008,473900.0,598900.0,1528500.0,1913254.0,3526499.0,41.9,69286.0,267420.6,22.89,2543559.0,0.0,Low,0,1,Minnesota2008,0.583778014941302,0.30967741935483867,0.11394799054373522,0.10291788324650293,0.13705842058909873,0.12670130987269,0.13175680153217445,0.49698160666561864,0.08002841387865951,0.07634228187919465,0.12029977468545881
Mississippi,19.4,2008,267900.0,315900.0,784100.0,1166061.0,1537431.0,64.7,45975.0,94514.5,26.59,1155133.0,0.0,Low,0,1,Mississippi2008,0.8271077908217715,0.049462365591397786,0.059837142106645654,0.048911280319077884,0.06421371954202955,0.07374042715279995,0.04833224537003251,0.13051407011476182,0.022712009183030377,0.12068552253116012,0.050222364420239154
Missouri,25.0,2008,530500.0,667800.0,1643600.0,1948878.0,3625612.0,56.1,58075.0,254045.8,20.04,2620559.0,0.0,Low,0,1,Missouri2008,0.7353255069370331,0.16989247311827954,0.1288153401628579,0.11606648728077708,0.1483217535962423,0.1292263315016578,0.13591375244330386,0.32073573337525546,0.07559481986709427,0.04218600191754554,0.124186161565582
Montana,27.1,2008,89300.0,99800.0,261500.0,456670.0,636171.0,43.7,54117.0,37224.9,22.72,375757.0,4.0,Low,0,1,Montana2008,0.6029882604055496,0.21505376344086022,0.012923561859732072,0.007671609320432816,0.013073686270672277,0.023458942243886866,0.010532021603579056,0.2585128124508725,0.0037211586667633733,0.07430488974113135,0.010885264925656194
Nebraska,27.1,2008,158800.0,203800.0,479100.0,796063.0,1237365.0,49.9,63991.0,85628.0,19.27,816515.0,0.0,Low,0,1,Nebraska2008,0.6691568836712913,0.21505376344086022,0.03117940635671132,0.027518558806129655,0.03436735492709658,0.04751504671616061,0.03574701808300699,0.4137399779908819,0.019766235550245252,0.03295781399808245,0.03313144815305016
Nevada,21.9,2008,216400.0,328100.0,737000.0,697190.0,1619014.0,51.5,69057.0,130609.5,29.1,699041.0,0.0,Low,0,1,Nevada2008,0.6862326574172891,0.10322580645161285,0.04630942999737326,0.05123948016259232,0.05960465799001859,0.04050694926722347,0.05175396125172988,0.49338154378242416,0.03467709096724004,0.15076701821668267,0.027202235005574945
New Hampshire,33.3,2008,102300.0,134800.0,413300.0,301470.0,844862.0,43.1,83478.0,61700.2,42.89,650130.0,0.0,Low,0,1,New Hampshire2008,0.5965848452508005,0.34838709677419344,0.01633832413974258,0.01435087116658079,0.02792836872492416,0.012458398879418877,0.019284841542381328,0.7200911806319761,0.011834442118572947,0.31603547459252157,0.02473357177578657
New Jersey,34.4,2008,722400.0,938200.0,2639000.0,2594326.0,5123820.0,53.4,82381.0,496227.2,42.31,3826995.0,0.0,Low,0,1,New Jersey2008,0.7065101387406617,0.3720430107526881,0.17922248489624376,0.16766855594358887,0.24572854486740386,0.17497555001653625,0.19875088895073867,0.7028454645495992,0.15587519824676993,0.30908437200383515,0.18507807120335207
New Mexico,24.7,2008,187700.0,225100.0,521300.0,677716.0,1105447.0,54.4,53110.0,84688.4,24.65,692415.0,0.0,Low,0,1,New Mexico2008,0.7171824973319103,0.16344086021505372,0.03877068557919622,0.03158336672964256,0.03849691750660534,0.039126636242225725,0.030214175264261,0.2426819682439868,0.01945476884171378,0.09743528283796739,0.026867803843656814
New York,31.9,2008,1805700.0,2199300.0,5657400.0,3874882.0,11197699.0,45.7,63655.0,1116591.0,48.27,8576151.0,0.0,Low,0,1,New York2008,0.624332977588047,0.3182795698924731,0.4637772524297347,0.40833190206293773,0.5410999119287602,0.26574109002059343,0.4534986702018344,0.4084577896557145,0.3615187389854618,0.38051294343240655,0.42478011756774564
North Carolina,26.1,2008,757500.0,1052800.0,2622200.0,2698578.0,5413586.0,60.1,54155.0,418793.4,23.34,3572277.0,0.0,Low,0,1,North Carolina2008,0.7780149413020278,0.1935483870967742,0.18844234305227214,0.1895383675884048,0.24408454839025345,0.18236490985437465,0.21090411847375107,0.25911020279830216,0.13020677464621214,0.08173537871524449,0.1722218024587908
North Dakota,26.9,2008,73300.0,70100.0,161700.0,444397.0,491898.0,41.4,62608.0,31874.4,19.63,346622.0,0.0,Low,0,1,North Dakota2008,0.5784418356456777,0.21075268817204296,0.008720777515103756,0.002003778553844392,0.003307564340933555,0.02258903458465932,0.0044809911756697515,0.391998113504166,0.0019475287987369494,0.03727229146692233,0.009414746980819974
Ohio,24.1,2008,972400.0,1271300.0,3255800.0,3999756.0,6725195.0,51.9,59205.0,496919.4,24.67,6413063.0,0.0,Low,0,1,Ohio2008,0.6905016008537886,0.15053763440860216,0.2448909902810612,0.23123604511364287,0.30608670124278303,0.27459213288202755,0.265915007333896,0.33850023581197924,0.15610465467040285,0.09767497603068076,0.3156035354410976
Oklahoma,22.2,2008,334100.0,419400.0,947700.0,1582452.0,2186554.0,60.3,58167.0,160763.7,22.93,1654409.0,0.0,Low,0,1,Oklahoma2008,0.7801494130202774,0.10967741935483867,0.07722616233254531,0.06866281177840118,0.08022311380761327,0.10325413367389655,0.07555745746415803,0.32218204684797985,0.04467286515029628,0.07682166826462129,0.07542210073141296
Oregon,28.1,2008,333100.0,460300.0,1057200.0,1047201.0,2288619.0,47.6,65252.0,164925.4,21.22,1463189.0,8.0,Low,0,1,Oregon2008,0.6446104589114194,0.23655913978494625,0.07696348831100604,0.07646800633575696,0.09093844798904002,0.06531565534673897,0.07983821977328422,0.4335639050463764,0.04605242134537441,0.05632790028763182,0.06577073840391744
Pennsylvania,26.3,2008,1027600.0,1262900.0,3586200.0,3942348.0,7278608.0,49.3,64842.0,588024.6,27.44,6086264.0,0.0,Low,0,1,Pennsylvania2008,0.662753468516542,0.1978494623655914,0.2593905962700289,0.22963302227056737,0.3384186319600744,0.27052306591380987,0.2891259955451384,0.4271183776135828,0.18630499180759016,0.13087248322147654,0.2991091543237291
Rhode Island,30.0,2008,98500.0,108400.0,309400.0,194322.0,608905.0,50.2,67161.0,47277.5,47.0,490628.0,0.0,Low,0,1,Rhode Island2008,0.6723585912486659,0.27741935483870966,0.015340162857893355,0.009312799374057747,0.01776103336921421,0.004863771170552793,0.009388443833328384,0.463574909605408,0.007053481180794291,0.3652924256951103,0.016683098007560487
South Carolina,23.7,2008,385400.0,480700.0,1232800.0,1637705.0,2472423.0,63.9,53177.0,163886.2,23.02,1996617.0,0.0,Low,0,1,South Carolina2008,0.8185699039487727,0.1419354838709677,0.09070133963750986,0.08036106181179749,0.10812212545258831,0.10717045469526865,0.08754724084286371,0.24373526175129698,0.04570793837016592,0.07790028763183125,0.09269421347781809
South Dakota,25.1,2008,65500.0,81600.0,217200.0,353531.0,561007.0,46.5,65091.0,36603.0,20.93,347408.0,0.0,Low,0,1,South Dakota2008,0.6328708644610458,0.17204301075268819,0.006671920147097452,0.004198393160435869,0.008738624131519717,0.0161484716120063,0.007379528406075885,0.4310328564691086,0.0035150058932047084,0.05285234899328859,0.009454418410531362
Tennessee,22.9,2008,518200.0,721300.0,1775000.0,2283922.0,3677072.0,59.6,50083.0,254242.0,24.03,2833546.0,0.0,Low,0,1,Tennessee2008,0.7726787620064035,0.12473118279569886,0.12558444969792487,0.12627621610274614,0.1611801546139544,0.1529741797684414,0.13807206360215002,0.19509511083163025,0.07565985793458456,0.0900047938638543,0.13493616003878714
Texas,25.3,2008,2290300.0,3017100.0,6634500.0,11263781.0,14365941.0,65.1,58645.0,1244294.9,32.42,8830985.0,0.0,Low,0,1,Texas2008,0.831376734258271,0.17634408602150536,0.5910690832676648,0.5643976259995038,0.6367159213230258,0.7894646973992929,0.5863795886341137,0.3296965885867002,0.4038511287253851,0.19055608820709494,0.43764224112890554
Utah,29.1,2008,329200.0,378800.0,631800.0,768036.0,1688150.0,49.9,78888.0,117178.9,19.12,1192191.0,0.0,Low,0,1,Utah2008,0.6691568836712913,0.25806451612903225,0.07593905962700288,0.060914868036869525,0.04931010862119581,0.045528498849691894,0.05465363090345915,0.6479327149819211,0.03022499989060875,0.031160115052732522,0.05209277643327298
Vermont,32.1,2008,50100.0,60900.0,191000.0,146384.0,424270.0,42.3,63964.0,25999.3,36.14,306690.0,0.0,Low,0,1,Vermont2008,0.5880469583778014,0.3225806451612903,0.002626740215392698,0.00024808686857121046,0.006174772482630394,0.0014659358109789108,0.001644569351914438,0.41331551642823455,0.0,0.23513902205177376,0.007399276839299467
Virginia,33.7,2008,658300.0,848000.0,2241100.0,2544221.0,4870415.0,56.5,78192.0,404634.9,23.5,3881087.0,0.0,Low,0,1,Virginia2008,0.7395944503735326,0.35698924731182796,0.16238508011557656,0.1504551439858018,0.2067912711615618,0.1714241181526402,0.1881226954177536,0.6369910391447886,0.12551339300216913,0.08365292425695112,0.18780823275036015
Washington,30.7,2008,551100.0,782300.0,1896300.0,2041958.0,3954911.0,46.7,71438.0,354794.1,19.28,3299259.0,0.0,Low,0,1,Washington2008,0.6350053361792956,0.29247311827956984,0.13422642500656684,0.1379172153203183,0.17305020060671297,0.13582382232874982,0.14972505649104742,0.5308127652884767,0.1089917349279085,0.03307766059443914,0.1584418859232392
West Virginia,17.1,2008,148600.0,196900.0,514100.0,776230.0,918366.0,52.9,47928.0,62694.8,16.52,700301.0,0.0,Low,0,1,West Virginia2008,0.7011739594450374,0.0,0.028500131337010768,0.026201790042174766,0.0377923475878266,0.04610928784665356,0.02236771179927656,0.1612167898129225,0.012164140701273458,0.0,0.02726583042724969
Wisconsin,25.7,2008,501700.0,618700.0,1632800.0,1895118.0,3572922.0,44.3,64587.0,246814.5,26.47,2659162.0,0.0,Low,0,1,Wisconsin2008,0.6093916755602987,0.18494623655913975,0.12125032834252693,0.10669643709089521,0.1472648987180742,0.12541583400633693,0.13370385320195904,0.4231095739663575,0.07319772620021091,0.11924736337488015,0.12613455367900273
Wyoming,23.6,2008,48500.0,59600.0,146700.0,538379.0,398969.0,43.3,67283.0,42819.3,16.73,261294.0,0.0,Low,0,1,Wyoming2008,0.5987193169690501,0.13978494623655913,0.002206461780929866,0.0,0.0018397103434778354,0.02925045898207833,0.0005834066890701546,0.46549284703662946,0.005575638609513963,0.002516778523489943,0.005108024646960868
Alabama,22.0,2009,422600.0,531900.0,1266900.0,1800096.0,2479507.0,63.1,50609.0,170930.9,26.23,2171584.0,0.0,Low,0,1,Alabama2009,0.8100320170757738,0.10537634408602148,0.10047281323877069,0.09013186771244823,0.11145904687347098,0.11868069462760963,0.08784435464483158,0.20336425090394591,0.04804317626032305,0.11637104506232024,0.10152524533826632
